Element_set with Number of Hydro: 1;Sum;Mass_after_subtract
"['CH3COO-', 'HCOO-', 'K+', 'Na+'];165.96443;678.50439"
"['CH3COOK', 'HCOO-', 'Na+'];165.96444;678.50438"
"['CH3COO-', 'HCOOK', 'Na+'];165.96444;678.50438"
"['CH3COONa', 'HCOO-', 'K+'];165.96443;678.50439"
"['CH3COO-', 'HCOONa', 'K+'];165.96443;678.50439"
"['CH3COOK', 'HCOONa'];165.96444;678.50438"
"['CH3COONa', 'HCOOK'];165.96444;678.50438"
Element_set with Number of Hydro: 2;Sum;Mass_after_subtract
Element_set with Number of Hydro: 3;Sum;Mass_after_subtract
"['Cl-', 'Cl-', 'K+', 'NH4+', 'NH4+', 'Na+'];167.96102;678.52345"
Element_set with Number of Hydro: 4;Sum;Mass_after_subtract
